sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
HC 07 Detva ,HC ‘05 iClinic Banská Bystrica,1,4,," Piatok 11.01.2019, 18:00"," 41. kolo, Číslo zápasu 243", ZŠ Detva, 835 divákov,1/11/2019 18:00,835,DT,BB
HKM Zvolen,HK DUKLA Trenčín,3,2,," Piatok 11.01.2019, 18:00"," 41. kolo, Číslo zápasu 244", ZŠ Zvolen, 1528 divákov,1/11/2019 18:00,1528,ZV,TN
HC Košice,MAC Újbuda ,4,5,sn," Piatok 11.01.2019, 17:30"," 41. kolo, Číslo zápasu 245", STEEL Arena Košice, 3270 divákov,1/11/2019 17:30,3270,KE,BU
MsHK DOXXbet Žilina,HK Nitra,4,6,," Piatok 11.01.2019, 17:30"," 41. kolo, Číslo zápasu 246", ZŠ Žilina, 529 divákov,1/11/2019 17:30,529,ZI,NR
MHk 32 Liptovský Mikuláš,MsHK DOXXbet Žilina,4,0,," Nedeľa 13.01.2019, 15:00"," 42. kolo, Číslo zápasu 247", ZŠ Spišská Nová Ves, 212 divákov,1/13/2019 15:00,212,LM,ZI
HK Nitra,HC Košice,3,4,," Nedeľa 13.01.2019, 16:00"," 42. kolo, Číslo zápasu 248", Nitra Aréna, 2895 divákov,1/13/2019 16:00,2895,NR,KE
MAC Újbuda ,HKM Zvolen,2,3,pp," Nedeľa 13.01.2019, 17:45"," 42. kolo, Číslo zápasu 249"," Ice rink MAC Budapest, HUN", 550 divákov,1/13/2019 17:45,550,BU,ZV
HK DUKLA Trenčín,HC 07 Detva ,5,4,," Nedeľa 13.01.2019, 17:00"," 42. kolo, Číslo zápasu 250"," ZŠ Pavla Demitru, Trenčín", 2269 divákov,1/13/2019 17:00,2269,TN,DT
HC ‘05 iClinic Banská Bystrica,DVTK Jegesmedvék Miskolc,2,3,sn," Nedeľa 13.01.2019, 17:00"," 42. kolo, Číslo zápasu 251", ZŠ Banská Bystrica, 2572 divákov,1/13/2019 17:00,2572,BB,MI
HK Poprad,MHC MIKRON Nové Zámky ,2,5,," Nedeľa 13.01.2019, 17:00"," 42. kolo, Číslo zápasu 252", ZŠ Poprad, 1362 divákov,1/13/2019 17:00,1362,PP,NZ
MHk 32 Liptovský Mikuláš,HK Poprad,0,1,," Utorok 15.01.2019, 17:00"," 43. kolo, Číslo zápasu 253", ZŠ Spišská Nová Ves, 410 divákov,1/15/2019 17:00,410,LM,PP
